Location,YearMonth,Rainfall
Adelaide,2015-01,41.6
Adelaide,2015-02,0.6
Adelaide,2015-03,2.4
Adelaide,2015-04,57.400000000000006
Adelaide,2015-05,71.8
Adelaide,2015-06,15.4
Adelaide,2015-07,73.6
Adelaide,2015-08,48.4
Adelaide,2015-09,52.2
Adelaide,2015-10,9.0
Adelaide,2015-11,9.8
Adelaide,2015-12,13.0
Adelaide,2016-01,52.800000000000004
Adelaide,2016-02,18.4
Adelaide,2016-03,53.800000000000004
Adelaide,2016-04,9.6
Adelaide,2016-05,88.0
Adelaide,2016-06,95.2
Adelaide,2016-07,112.0
Adelaide,2016-08,58.8
Adelaide,2016-09,131.2
Adelaide,2016-10,81.0
Adelaide,2016-11,33.199999999999996
Adelaide,2016-12,86.8
Adelaide,2017-01,47.2
Adelaide,2017-02,33.4
Adelaide,2017-03,39.400000000000006
Adelaide,2017-04,33.2
Adelaide,2017-05,51.2
Adelaide,2017-06,1.9999999999999998
Albany,2015-01,5.3999999999999995
Albany,2015-02,20.900000000000002
Albany,2015-03,35.6
Albany,2015-04,77.8
Albany,2015-05,57.7
Albany,2015-06,49.0
Albany,2015-07,89.4
Albany,2015-08,101.0
Albany,2015-09,52.900000000000006
Albany,2015-10,59.5
Albany,2015-11,17.099999999999998
Albany,2015-12,50.0
Albany,2016-01,73.8
Albany,2016-02,21.7
Albany,2016-03,44.2
Albany,2016-04,94.6
Albany,2016-05,97.9
Albany,2016-06,120.3
Albany,2016-07,122.6
Albany,2016-08,117.1
Albany,2016-09,102.8
Albany,2016-10,62.8
Albany,2016-11,22.599999999999998
Albany,2016-12,34.1
Albany,2017-01,3.6
Albany,2017-02,52.2
Albany,2017-03,29.0
Albany,2017-04,50.3
Albany,2017-05,67.0
Albany,2017-06,43.6
Albury,2015-01,96.8
Albury,2015-02,35.199999999999996
Albury,2015-03,4.8
Albury,2015-04,83.39999999999999
Albury,2015-05,45.4
Albury,2015-06,83.6
Albury,2015-07,43.6
Albury,2015-08,90.39999999999999
Albury,2015-09,27.4
Albury,2015-10,10.600000000000001
Albury,2015-11,66.2
Albury,2015-12,34.2
Albury,2016-01,68.39999999999999
Albury,2016-02,29.400000000000002
Albury,2016-03,29.8
Albury,2016-04,16.4
Albury,2016-05,107.8
Albury,2016-06,86.0
Albury,2016-07,116.8
Albury,2016-08,74.4
Albury,2016-09,142.20000000000002
Albury,2016-10,61.4
Albury,2016-11,49.6
Albury,2016-12,22.8
Albury,2017-01,45.4
Albury,2017-02,12.0
Albury,2017-03,3.6000000000000005
Albury,2017-04,72.6
Albury,2017-05,45.400000000000006
Albury,2017-06,6.200000000000001
AliceSprings,2015-01,195.2
AliceSprings,2015-02,0.0
AliceSprings,2015-03,0.0
AliceSprings,2015-04,7.6
AliceSprings,2015-05,0.0
AliceSprings,2015-06,2.4
AliceSprings,2015-07,0.0
AliceSprings,2015-08,0.4
AliceSprings,2015-09,0.0
AliceSprings,2015-10,0.0
AliceSprings,2015-11,23.799999999999997
AliceSprings,2015-12,119.8
AliceSprings,2016-01,40.0
AliceSprings,2016-02,26.4
AliceSprings,2016-03,16.2
AliceSprings,2016-04,0.0
AliceSprings,2016-05,56.8
AliceSprings,2016-06,28.0
AliceSprings,2016-07,0.0
AliceSprings,2016-08,20.4
AliceSprings,2016-09,49.2
AliceSprings,2016-10,3.4
AliceSprings,2016-11,7.0
AliceSprings,2016-12,125.8
AliceSprings,2017-01,73.2
AliceSprings,2017-02,4.4
AliceSprings,2017-03,0.0
AliceSprings,2017-04,0.2
AliceSprings,2017-05,0.0
AliceSprings,2017-06,0.0
BadgerysCreek,2015-01,145.0
BadgerysCreek,2015-02,34.0
BadgerysCreek,2015-03,55.800000000000004
BadgerysCreek,2015-04,253.4
BadgerysCreek,2015-05,52.6
BadgerysCreek,2015-06,62.00000000000001
BadgerysCreek,2015-07,36.0
BadgerysCreek,2015-08,46.6
BadgerysCreek,2015-09,10.8
BadgerysCreek,2015-10,58.2
BadgerysCreek,2015-11,65.2
BadgerysCreek,2015-12,0.0
BadgerysCreek,2016-01,155.4
BadgerysCreek,2016-02,12.8
BadgerysCreek,2016-03,31.599999999999998
BadgerysCreek,2016-04,10.4
BadgerysCreek,2016-05,11.8
BadgerysCreek,2016-06,250.4
BadgerysCreek,2016-07,44.6
BadgerysCreek,2016-08,58.6
BadgerysCreek,2016-09,54.8
BadgerysCreek,2016-10,14.200000000000001
BadgerysCreek,2016-11,9.8
BadgerysCreek,2016-12,10.2
BadgerysCreek,2017-01,23.6
BadgerysCreek,2017-02,93.0
BadgerysCreek,2017-03,285.4
BadgerysCreek,2017-04,27.6
BadgerysCreek,2017-05,15.6
BadgerysCreek,2017-06,55.4
Ballarat,2015-01,77.80000000000001
Ballarat,2015-02,53.0
Ballarat,2015-03,34.8
Ballarat,2015-04,32.8
Ballarat,2015-05,38.8
Ballarat,2015-06,27.6
Ballarat,2015-07,62.0
Ballarat,2015-08,38.6
Ballarat,2015-09,42.800000000000004
Ballarat,2015-10,3.8
Ballarat,2015-11,14.8
Ballarat,2015-12,26.2
Ballarat,2016-01,39.4
Ballarat,2016-02,9.6
Ballarat,2016-03,36.6
Ballarat,2016-04,13.8
Ballarat,2016-05,71.4
Ballarat,2016-06,70.6
Ballarat,2016-07,93.4
Ballarat,2016-08,63.6
Ballarat,2016-09,178.2
Ballarat,2016-10,102.4
Ballarat,2016-11,34.0
Ballarat,2016-12,27.599999999999998
Ballarat,2017-01,38.6
Ballarat,2017-02,44.199999999999996
Ballarat,2017-03,44.4
Ballarat,2017-04,101.0
Ballarat,2017-05,44.0
Ballarat,2017-06,7.4
Bendigo,2015-01,57.199999999999996
Bendigo,2015-02,9.6
Bendigo,2015-03,9.0
Bendigo,2015-04,28.2
Bendigo,2015-05,47.0
Bendigo,2015-06,36.6
Bendigo,2015-07,52.8
Bendigo,2015-08,23.2
Bendigo,2015-09,30.599999999999998
Bendigo,2015-10,14.200000000000001
Bendigo,2015-11,34.400000000000006
Bendigo,2015-12,14.2
Bendigo,2016-01,32.4
Bendigo,2016-02,4.4
Bendigo,2016-03,33.4
Bendigo,2016-04,14.8
Bendigo,2016-05,83.0
Bendigo,2016-06,57.4
Bendigo,2016-07,91.8
Bendigo,2016-08,81.0
Bendigo,2016-09,153.4
Bendigo,2016-10,58.4
Bendigo,2016-11,37.6
Bendigo,2016-12,29.2
Bendigo,2017-01,43.0
Bendigo,2017-02,29.4
Bendigo,2017-03,45.800000000000004
Bendigo,2017-04,113.2
Bendigo,2017-05,27.8
Bendigo,2017-06,2.2
Brisbane,2015-01,322.40000000000003
Brisbane,2015-02,274.8
Brisbane,2015-03,161.4
Brisbane,2015-04,146.20000000000002
Brisbane,2015-05,248.79999999999998
Brisbane,2015-06,34.6
Brisbane,2015-07,9.2
Brisbane,2015-08,27.6
Brisbane,2015-09,54.199999999999996
Brisbane,2015-10,55.800000000000004
Brisbane,2015-11,74.2
Brisbane,2015-12,36.2
Brisbane,2016-01,51.4
Brisbane,2016-02,13.8
Brisbane,2016-03,117.4
Brisbane,2016-04,12.8
Brisbane,2016-05,27.6
Brisbane,2016-06,264.8
Brisbane,2016-07,28.2
Brisbane,2016-08,31.6
Brisbane,2016-09,51.8
Brisbane,2016-10,30.2
Brisbane,2016-11,28.0
Brisbane,2016-12,102.0
Brisbane,2017-01,218.4
Brisbane,2017-02,30.6
Brisbane,2017-03,189.6
Brisbane,2017-04,5.800000000000001
Brisbane,2017-05,36.199999999999996
Brisbane,2017-06,74.8
Cairns,2015-01,210.8
Cairns,2015-02,596.2
Cairns,2015-03,241.2
Cairns,2015-04,83.2
Cairns,2015-05,27.4
Cairns,2015-06,177.6
Cairns,2015-07,25.0
Cairns,2015-08,17.0
Cairns,2015-09,13.0
Cairns,2015-10,64.8
Cairns,2015-11,92.39999999999999
Cairns,2015-12,348.0
Cairns,2016-01,288.8
Cairns,2016-02,136.0
Cairns,2016-03,258.2
Cairns,2016-04,152.8
Cairns,2016-05,180.0
Cairns,2016-06,66.60000000000001
Cairns,2016-07,85.0
Cairns,2016-08,41.800000000000004
Cairns,2016-09,49.0
Cairns,2016-10,70.6
Cairns,2016-11,17.6
Cairns,2016-12,60.0
Cairns,2017-01,374.8
Cairns,2017-02,483.8
Cairns,2017-03,121.2
Cairns,2017-04,183.2
Cairns,2017-05,72.4
Cairns,2017-06,20.8
Canberra,2015-01,97.0
Canberra,2015-02,30.2
Canberra,2015-03,12.4
Canberra,2015-04,91.8
Canberra,2015-05,12.200000000000001
Canberra,2015-06,55.2
Canberra,2015-07,37.199999999999996
Canberra,2015-08,66.8
Canberra,2015-09,13.6
Canberra,2015-10,26.599999999999998
Canberra,2015-11,67.6
Canberra,2015-12,35.0
Canberra,2016-01,106.4
Canberra,2016-02,23.4
Canberra,2016-03,28.400000000000002
Canberra,2016-04,6.800000000000001
Canberra,2016-05,47.6
Canberra,2016-06,144.20000000000002
Canberra,2016-07,71.0
Canberra,2016-08,46.2
Canberra,2016-09,149.2
Canberra,2016-10,43.6
Canberra,2016-11,56.8
Canberra,2016-12,64.6
Canberra,2017-01,8.4
Canberra,2017-02,20.6
Canberra,2017-03,85.2
Canberra,2017-04,31.6
Canberra,2017-05,34.2
Canberra,2017-06,2.2
Cobar,2015-01,61.4
Cobar,2015-02,17.0
Cobar,2015-03,0.0
Cobar,2015-04,19.8
Cobar,2015-05,68.0
Cobar,2015-06,54.0
Cobar,2015-07,32.6
Cobar,2015-08,22.599999999999998
Cobar,2015-09,6.2
Cobar,2015-10,14.200000000000001
Cobar,2015-11,56.6
Cobar,2015-12,23.2
Cobar,2016-01,21.6
Cobar,2016-02,1.8
Cobar,2016-03,68.0
Cobar,2016-04,39.4
Cobar,2016-05,75.6
Cobar,2016-06,107.6
Cobar,2016-07,32.8
Cobar,2016-08,60.400000000000006
Cobar,2016-09,102.2
Cobar,2016-10,20.4
Cobar,2016-11,21.4
Cobar,2016-12,30.8
Cobar,2017-01,32.6
Cobar,2017-02,3.0
Cobar,2017-03,24.0
Cobar,2017-04,13.799999999999999
Cobar,2017-05,32.2
Cobar,2017-06,3.1999999999999997
CoffsHarbour,2015-01,0.0
CoffsHarbour,2015-02,494.5
CoffsHarbour,2015-03,244.60000000000002
CoffsHarbour,2015-04,176.1
CoffsHarbour,2015-05,280.59999999999997
CoffsHarbour,2015-06,52.0
CoffsHarbour,2015-07,29.0
CoffsHarbour,2015-08,25.5
CoffsHarbour,2015-09,81.5
CoffsHarbour,2015-10,35.9
CoffsHarbour,2015-11,153.3
CoffsHarbour,2015-12,184.9
CoffsHarbour,2016-01,97.0
CoffsHarbour,2016-02,31.5
CoffsHarbour,2016-03,72.7
CoffsHarbour,2016-04,116.3
CoffsHarbour,2016-05,3.5
CoffsHarbour,2016-06,340.5
CoffsHarbour,2016-07,22.7
CoffsHarbour,2016-08,176.9
CoffsHarbour,2016-09,34.9
CoffsHarbour,2016-10,26.1
CoffsHarbour,2016-11,106.39999999999999
CoffsHarbour,2016-12,63.6
CoffsHarbour,2017-01,151.0
CoffsHarbour,2017-02,114.3
CoffsHarbour,2017-03,570.4
CoffsHarbour,2017-04,89.8
CoffsHarbour,2017-05,87.3
CoffsHarbour,2017-06,295.0
Dartmoor,2015-01,73.2
Dartmoor,2015-02,6.2
Dartmoor,2015-03,40.4
Dartmoor,2015-04,46.199999999999996
Dartmoor,2015-05,95.6
Dartmoor,2015-06,64.4
Dartmoor,2015-07,91.8
Dartmoor,2015-08,43.6
Dartmoor,2015-09,54.0
Dartmoor,2015-10,11.2
Dartmoor,2015-11,22.6
Dartmoor,2015-12,15.399999999999999
Dartmoor,2016-01,17.6
Dartmoor,2016-02,41.2
Dartmoor,2016-03,28.6
Dartmoor,2016-04,34.0
Dartmoor,2016-05,100.39999999999999
Dartmoor,2016-06,151.6
Dartmoor,2016-07,127.6
Dartmoor,2016-08,86.2
Dartmoor,2016-09,109.2
Dartmoor,2016-10,72.6
Dartmoor,2016-11,46.8
Dartmoor,2016-12,51.800000000000004
Dartmoor,2017-01,47.4
Dartmoor,2017-02,44.199999999999996
Dartmoor,2017-03,50.0
Dartmoor,2017-04,84.4
Dartmoor,2017-05,62.800000000000004
Dartmoor,2017-06,13.4
Darwin,2015-01,484.6
Darwin,2015-02,353.2
Darwin,2015-03,230.79999999999998
Darwin,2015-04,21.200000000000003
Darwin,2015-05,13.8
Darwin,2015-06,0.4
Darwin,2015-07,0.0
Darwin,2015-08,0.2
Darwin,2015-09,3.4000000000000004
Darwin,2015-10,42.6
Darwin,2015-11,84.2
Darwin,2015-12,509.4
Darwin,2016-01,169.8
Darwin,2016-02,150.4
Darwin,2016-03,115.8
Darwin,2016-04,46.4
Darwin,2016-05,62.4
Darwin,2016-06,0.0
Darwin,2016-07,0.0
Darwin,2016-08,0.0
Darwin,2016-09,64.4
Darwin,2016-10,130.8
Darwin,2016-11,208.2
Darwin,2016-12,406.8
Darwin,2017-01,470.59999999999997
Darwin,2017-02,624.8
Darwin,2017-03,458.4
Darwin,2017-04,184.79999999999998
Darwin,2017-05,0.4
Darwin,2017-06,0.0
GoldCoast,2015-01,388.20000000000005
GoldCoast,2015-02,345.2
GoldCoast,2015-03,83.8
GoldCoast,2015-04,303.6
GoldCoast,2015-05,103.6
GoldCoast,2015-06,88.8
GoldCoast,2015-07,77.60000000000001
GoldCoast,2015-08,36.0
GoldCoast,2015-09,41.0
GoldCoast,2015-10,27.599999999999998
GoldCoast,2015-11,87.4
GoldCoast,2015-12,70.4
GoldCoast,2016-01,67.2
GoldCoast,2016-02,58.800000000000004
GoldCoast,2016-03,68.60000000000001
GoldCoast,2016-04,107.0
GoldCoast,2016-05,17.4
GoldCoast,2016-06,281.8
GoldCoast,2016-07,16.400000000000002
GoldCoast,2016-08,67.0
GoldCoast,2016-09,34.199999999999996
GoldCoast,2016-10,31.599999999999998
GoldCoast,2016-11,25.8
GoldCoast,2016-12,56.6
GoldCoast,2017-01,119.6
GoldCoast,2017-02,23.4
GoldCoast,2017-03,394.0
GoldCoast,2017-04,35.400000000000006
GoldCoast,2017-05,77.8
GoldCoast,2017-06,124.4
Hobart,2015-01,121.6
Hobart,2015-02,21.6
Hobart,2015-03,51.2
Hobart,2015-04,12.4
Hobart,2015-05,75.8
Hobart,2015-06,44.2
Hobart,2015-07,23.0
Hobart,2015-08,63.800000000000004
Hobart,2015-09,25.0
Hobart,2015-10,14.4
Hobart,2015-11,40.4
Hobart,2015-12,35.0
Hobart,2016-01,40.2
Hobart,2016-02,21.8
Hobart,2016-03,17.0
Hobart,2016-04,8.8
Hobart,2016-05,96.0
Hobart,2016-06,115.4
Hobart,2016-07,79.2
Hobart,2016-08,15.799999999999999
Hobart,2016-09,94.19999999999999
Hobart,2016-10,83.4
Hobart,2016-11,65.2
Hobart,2016-12,56.6
Hobart,2017-01,60.0
Hobart,2017-02,10.4
Hobart,2017-03,37.0
Hobart,2017-04,21.599999999999998
Hobart,2017-05,28.4
Hobart,2017-06,5.0
Katherine,2015-01,209.2
Katherine,2015-02,107.4
Katherine,2015-03,134.0
Katherine,2015-04,0.0
Katherine,2015-05,8.2
Katherine,2015-06,0.0
Katherine,2015-07,0.0
Katherine,2015-08,0.0
Katherine,2015-09,0.0
Katherine,2015-10,0.0
Katherine,2015-11,97.2
Katherine,2015-12,596.6
Katherine,2016-01,251.5
Katherine,2016-02,112.8
Katherine,2016-03,100.6
Katherine,2016-04,18.8
Katherine,2016-05,44.6
Katherine,2016-06,0.0
Katherine,2016-07,5.2
Katherine,2016-08,0.0
Katherine,2016-09,58.0
Katherine,2016-10,4.4
Katherine,2016-11,40.5
Katherine,2016-12,122.4
Katherine,2017-01,470.40000000000003
Katherine,2017-02,322.4
Katherine,2017-03,318.8
Katherine,2017-04,22.2
Katherine,2017-05,0.0
Katherine,2017-06,0.0
Launceston,2015-01,64.6
Launceston,2015-02,20.2
Launceston,2015-03,58.4
Launceston,2015-04,24.3
Launceston,2015-05,89.3
Launceston,2015-06,44.4
Launceston,2015-07,67.5
Launceston,2015-08,47.1
Launceston,2015-09,28.3
Launceston,2015-10,1.4
Launceston,2015-11,36.0
Launceston,2015-12,28.299999999999997
Launceston,2016-01,153.8
Launceston,2016-02,24.599999999999998
Launceston,2016-03,49.5
Launceston,2016-04,27.6
Launceston,2016-05,133.7
Launceston,2016-06,134.5
Launceston,2016-07,140.9
Launceston,2016-08,64.6
Launceston,2016-09,81.2
Launceston,2016-10,73.7
Launceston,2016-11,55.2
Launceston,2016-12,70.9
Launceston,2017-01,44.6
Launceston,2017-02,12.0
Launceston,2017-03,19.6
Launceston,2017-04,35.2
Launceston,2017-05,85.4
Launceston,2017-06,20.0
Melbourne,2015-01,5.6000000000000005
Melbourne,2015-02,0.0
Melbourne,2015-03,0.0
Melbourne,2015-04,0.0
Melbourne,2015-05,0.0
Melbourne,2015-06,0.0
Melbourne,2015-07,0.0
Melbourne,2015-08,0.0
Melbourne,2015-09,0.0
Melbourne,2015-10,0.0
Melbourne,2015-11,0.0
Melbourne,2015-12,0.0
Melbourne,2016-01,0.0
Melbourne,2016-02,0.0
Melbourne,2016-03,0.0
Melbourne,2016-04,0.0
Melbourne,2016-05,57.0
Melbourne,2016-06,54.4
Melbourne,2016-07,64.2
Melbourne,2016-08,61.2
Melbourne,2016-09,87.2
Melbourne,2016-10,63.4
Melbourne,2016-11,31.4
Melbourne,2016-12,39.599999999999994
Melbourne,2017-01,31.6
Melbourne,2017-02,40.199999999999996
Melbourne,2017-03,26.400000000000002
Melbourne,2017-04,123.4
Melbourne,2017-05,25.0
Melbourne,2017-06,11.0
MelbourneAirport,2015-01,30.0
MelbourneAirport,2015-02,38.8
MelbourneAirport,2015-03,22.2
MelbourneAirport,2015-04,35.199999999999996
MelbourneAirport,2015-05,25.4
MelbourneAirport,2015-06,23.4
MelbourneAirport,2015-07,63.6
MelbourneAirport,2015-08,19.4
MelbourneAirport,2015-09,27.799999999999997
MelbourneAirport,2015-10,16.6
MelbourneAirport,2015-11,54.2
MelbourneAirport,2015-12,44.800000000000004
MelbourneAirport,2016-01,44.8
MelbourneAirport,2016-02,4.4
MelbourneAirport,2016-03,27.2
MelbourneAirport,2016-04,36.4
MelbourneAirport,2016-05,47.0
MelbourneAirport,2016-06,66.4
MelbourneAirport,2016-07,63.4
MelbourneAirport,2016-08,30.599999999999998
MelbourneAirport,2016-09,99.8
MelbourneAirport,2016-10,77.39999999999999
MelbourneAirport,2016-11,39.8
MelbourneAirport,2016-12,77.4
MelbourneAirport,2017-01,25.6
MelbourneAirport,2017-02,32.4
MelbourneAirport,2017-03,33.4
MelbourneAirport,2017-04,98.2
MelbourneAirport,2017-05,20.0
MelbourneAirport,2017-06,14.8
Mildura,2015-01,57.0
Mildura,2015-02,0.6
Mildura,2015-03,0.0
Mildura,2015-04,93.0
Mildura,2015-05,10.2
Mildura,2015-06,30.6
Mildura,2015-07,14.3
Mildura,2015-08,12.8
Mildura,2015-09,13.600000000000001
Mildura,2015-10,5.1
Mildura,2015-11,6.4
Mildura,2015-12,1.6
Mildura,2016-01,68.2
Mildura,2016-02,0.2
Mildura,2016-03,0.4
Mildura,2016-04,3.0
Mildura,2016-05,43.4
Mildura,2016-06,18.2
Mildura,2016-07,19.2
Mildura,2016-08,30.799999999999997
Mildura,2016-09,93.6
Mildura,2016-10,24.8
Mildura,2016-11,51.2
Mildura,2016-12,5.6
Mildura,2017-01,29.4
Mildura,2017-02,5.2
Mildura,2017-03,4.2
Mildura,2017-04,44.0
Mildura,2017-05,19.6
Mildura,2017-06,1.8
Moree,2015-01,104.8
Moree,2015-02,4.4
Moree,2015-03,60.0
Moree,2015-04,62.6
Moree,2015-05,33.0
Moree,2015-06,62.4
Moree,2015-07,35.0
Moree,2015-08,10.6
Moree,2015-09,4.0
Moree,2015-10,9.6
Moree,2015-11,74.2
Moree,2015-12,61.2
Moree,2016-01,86.0
Moree,2016-02,3.2
Moree,2016-03,8.0
Moree,2016-04,13.6
Moree,2016-05,34.8
Moree,2016-06,63.199999999999996
Moree,2016-07,14.599999999999998
Moree,2016-08,50.0
Moree,2016-09,138.6
Moree,2016-10,56.8
Moree,2016-11,23.200000000000003
Moree,2016-12,35.199999999999996
Moree,2017-01,19.4
Moree,2017-02,12.6
Moree,2017-03,156.2
Moree,2017-04,22.6
Moree,2017-05,52.199999999999996
Moree,2017-06,2.8
MountGambier,2015-01,45.4
MountGambier,2015-02,4.0
MountGambier,2015-03,31.4
MountGambier,2015-04,61.599999999999994
MountGambier,2015-05,94.6
MountGambier,2015-06,41.8
MountGambier,2015-07,91.39999999999999
MountGambier,2015-08,57.800000000000004
MountGambier,2015-09,53.0
MountGambier,2015-10,3.6
MountGambier,2015-11,23.2
MountGambier,2015-12,11.8
MountGambier,2016-01,13.200000000000001
MountGambier,2016-02,48.4
MountGambier,2016-03,28.4
MountGambier,2016-04,31.4
MountGambier,2016-05,106.6
MountGambier,2016-06,163.0
MountGambier,2016-07,153.4
MountGambier,2016-08,80.60000000000001
MountGambier,2016-09,110.4
MountGambier,2016-10,71.0
MountGambier,2016-11,49.599999999999994
MountGambier,2016-12,55.8
MountGambier,2017-01,53.8
MountGambier,2017-02,30.400000000000002
MountGambier,2017-03,74.8
MountGambier,2017-04,62.8
MountGambier,2017-05,86.0
MountGambier,2017-06,12.200000000000001
MountGinini,2015-01,100.6
MountGinini,2015-02,56.8
MountGinini,2015-03,6.8
MountGinini,2015-04,120.4
MountGinini,2015-05,51.4
MountGinini,2015-06,86.39999999999999
MountGinini,2015-07,99.6
MountGinini,2015-08,88.2
MountGinini,2015-09,19.2
MountGinini,2015-10,19.8
MountGinini,2015-11,135.2
MountGinini,2015-12,45.8
MountGinini,2016-01,145.4
MountGinini,2016-02,41.4
MountGinini,2016-03,54.8
MountGinini,2016-04,15.6
MountGinini,2016-05,106.39999999999999
MountGinini,2016-06,274.6
MountGinini,2016-07,197.0
MountGinini,2016-08,70.6
MountGinini,2016-09,241.2
MountGinini,2016-10,108.0
MountGinini,2016-11,57.8
MountGinini,2016-12,92.0
MountGinini,2017-01,30.799999999999997
MountGinini,2017-02,21.4
MountGinini,2017-03,63.6
MountGinini,2017-04,90.2
MountGinini,2017-05,116.8
MountGinini,2017-06,8.4
Newcastle,2015-01,149.2
Newcastle,2015-02,88.7
Newcastle,2015-03,70.4
Newcastle,2015-04,360.3
Newcastle,2015-05,132.9
Newcastle,2015-06,85.5
Newcastle,2015-07,25.6
Newcastle,2015-08,26.599999999999998
Newcastle,2015-09,127.8
Newcastle,2015-10,49.599999999999994
Newcastle,2015-11,90.0
Newcastle,2015-12,99.6
